idcliente,rut,dv,nombrecliente,apellidopaterno,apellidomaterno,email,telefono,celular1,celular2,fechacreacion,vigente
1,1,9,JOSE MIGUEL,CARRERA,PINTO,josecarrera@gmail.com,412234541,093322332,,2012-02-01 00:00:00.000,1
2,2,7,RAMON,FREIRE,FREIRE,ramonfreire@gmail.com,413322123,092345653,,2012-02-01 00:00:00.000,1
3,22223,1,PEDRO,LOPEZ,PEREZ,,,0854643234,,2012-02-20 00:00:00.000,1
4,4353455,3,JUAN,PEREZ,RODRIGUEZ,juan.perez@hotmail.com,234343434,084532356,0987643221,2012-02-28 00:00:00.000,1
5,87744545,1,ROBERTO,ROBLES,MONCADA,rob.robles@me.com,299887766,091234567,,2012-03-04 00:00:00.000,1
6,10111222,5,ERIC,MENDEZ,RUIZ,,32234553,,,2012-04-06 00:00:00.000,1
8,1408,2,EUGENIO,VARGAS,SANCHEZ,eugenio.vargas@correo.cl,,,,2012-12-01 00:00:00.000,1
12,1412,6,LUIS,MORAN,VARGAS,luis.moran@correo.cl,,,,2012-07-01 00:00:00.000,1
14,1414,8,ALFIE,TRONCOSO,PIZARRO,alfie.troncoso@correo.cl,,,,2012-02-02 00:00:00.000,1
19,1419,2,JOSE,POBLETE,OJEDA,jose.poblete@correo.cl,,,,2012-02-04 00:00:00.000,1
22,1422,5,MARIA,OLIVARES,PRADO,maria.olivares@correo.cl,,,,2012-10-01 00:00:00.000,1
24,1424,7,MARIA,BARAHONA,ARAVENA,maria.barahona@correo.cl,,,,2012-08-02 00:00:00.000,1
29,1429,1,CARLOS,NEIRA,ALVAREZ,carlos.neira@correo.cl,,,,2012-09-04 00:00:00.000,1
30,1430,2,TERESA,JIMENEZ,SOTO,teresa.jimenez@correo.cl,,,,2012-03-02 00:00:00.000,1
34,1434,6,DENISSE,MEDEL,JIMENEZ,denisse.medel@correo.cl,,,,2012-11-02 00:00:00.000,1
37,1437,9,EDUARDO,BRAVO,TOLEDO,eduardo.bravo@correo.cl,,,,2012-01-02 00:00:00.000,1
40,1440,1,MARIA,PEREZ,SANCHEZ,maria.perez@correo.cl,,,,2012-11-02 00:00:00.000,1
43,1443,4,PAULA,MORAN,VERGARA,paula.moran@correo.cl,,,,2012-07-04 00:00:00.000,1
45,1445,6,ALFONSO,TRONCOSO,PEREZ,alfonso.troncoso@correo.cl,,,,2012-09-02 00:00:00.000,1
46,1446,7,ANTONIO,OJEDA,PIZARRO,antonio.ojeda@correo.cl,,,,2012-05-02 00:00:00.000,1
47,1447,8,MARY,JARA,ALIAGA,mary.jara@correo.cl,,,,2012-10-02 00:00:00.000,1
48,1448,9,ADRIAAN,VILLA,MORAN,adriaan.villa@correo.cl,,,,2012-05-02 00:00:00.000,1
51,1451,1,HERTA,ARAVENA,OJEDA,herta.aravena@correo.cl,,,,2012-08-02 00:00:00.000,1
52,1452,2,RODOLFO,ESCOBAR,JARA,rodolfo.escobar@correo.cl,,,,2012-03-02 00:00:00.000,1
54,1454,4,FERNANDO,FARIAS,PRADO,,,,,2012-01-03 00:00:00.000,1
56,1456,6,GABRIEL,ALVAREZ,ARAVENA,gabriel.alvarez@correo.cl,,,,2012-11-02 00:00:00.000,1
59,1459,9,LUIS,CASTILLO,FARIAS,luis.castillo@correo.cl,,,,2012-02-05 00:00:00.000,1
62,1462,1,HERNAN,GONZALEZ,SOTO,hernan.gonzalez@correo.cl,,,,2012-11-02 00:00:00.000,1
64,1464,3,RAFAEL,TOLEDO,CASTILLO,rafael.toledo@correo.cl,,,,2012-09-03 00:00:00.000,1
69,1469,8,MARTIN,VERGARA,MEDEL,martin.vergara@correo.cl,,,,2012-12-05 00:00:00.000,1
70,1470,9,MICHEL,VARGAS,SANCHEZ,michel.vargas@correo.cl,,,,2012-07-03 00:00:00.000,1
73,1473,1,ALEJANDRO,ALIAGA,VERGARA,alejandro.aliaga@correo.cl,,,,2012-02-05 00:00:00.000,1
75,1475,3,SOLEDAD,STUARDO,PEREZ,soledad.stuardo@correo.cl,,,,2012-01-03 00:00:00.000,1
77,1477,5,PAULA,OJEDA,ALIAGA,paula.ojeda@correo.cl,,,,2012-01-03 00:00:00.000,1
81,1481,9,GUILLERMO,POBLETE,OJEDA,guillermo.poblete@correo.cl,,,,2012-03-03 00:00:00.000,1
83,1483,K,MARIA,ESCOBAR,VILLA,maria.escobar@correo.cl,,,,2012-11-05 00:00:00.000,1
85,1485,2,LUIS,FARIAS,POBLETE,,,,,2012-10-03 00:00:00.000,1
86,1486,3,FRANCISCO,BARAHONA,ARAVENA,,,,,2012-08-03 00:00:00.000,1
88,1488,5,LUZ,SOTO,OLIVARES,luz.soto@correo.cl,,,,2012-09-03 00:00:00.000,1
91,1491,8,ALVARO,NEIRA,ALVAREZ,alvaro.neira@correo.cl,,,,2012-12-03 00:00:00.000,1
92,1492,9,CARLOS,JIMENEZ,SOTO,carlos.jimenez@correo.cl,,,,2012-05-03 00:00:00.000,1
94,1494,K,PEDRO,BARRIENTOS,CASTILLO,pedro.barrientos@correo.cl,,,,2012-01-04 00:00:00.000,1
96,1496,2,DANIEL,MEDEL,JIMENEZ,daniel.medel@correo.cl,,,,2012-12-03 00:00:00.000,1
